前 128 个点的 FFT 结果:
第 55 个点: 55, s3 实部: -1338.935764, s3 虚部: -1.648020, s3 取模: 0.163444, s3 相位: -3.140362, s4 实部: 1.152947, s4 虚部: -8.102926, s4 取模: 0.000999, s4 相位: -1.429457, 相位差: -1.710904
第 56 个点: 56, s3 实部: -1339.075264, s3 虚部: -3.759717, s3 取模: 0.163462, s3 相位: -3.138785, s4 实部: -0.668563, s4 虚部: -8.177044, s4 取模: 0.001002, s4 相位: -1.652376, 相位差: -1.486409
第 57 个点: 57, s3 实部: -1339.195597, s3 虚部: -6.753358, s3 取模: 0.163478, s3 相位: -3.136550, s4 实部: -2.826941, s4 虚部: -8.966846, s4 取模: 0.001148, s4 相位: -1.876199, 相位差: -1.260351
第 58 个点: 58, s3 实部: -1339.338126, s3 虚部: -11.982493, s3 取模: 0.163500, s3 相位: -3.132646, s4 实部: -6.116324, s4 虚部: -10.939097, s4 取模: 0.001530, s4 相位: -2.080618, 相位差: -1.052028
第 59 个点: 59, s3 实部: -1339.591409, s3 虚部: -24.201501, s3 取模: 0.163551, s3 相位: -3.123528, s4 实部: -13.138839, s4 虚部: -16.074566, s4 取模: 0.002534, s4 相位: -2.256038, 相位差: -0.867490
第 60 个点: 60, s3 实部: -1340.667172, s3 虚部: -86.312210, s3 取模: 0.163994, s3 相位: -3.077301, s4 实部: -47.063667, s4 虚部: -42.712154, s4 取模: 0.007758, s4 相位: -2.404627, 相位差: -0.672674
第 61 个点: 61, s3 实部: -1337.695373, s3 虚部: 98.331859, s3 取模: 0.163733, s3 相位: 3.068216, s4 实部: 52.112647, s4 虚部: 36.118807, s4 取模: 0.007740, s4 相位: 0.606074, 相位差: 2.462142
第 62 个点: 62, s3 实部: -1338.761278, s3 虚部: 38.064815, s3 取模: 0.163489, s3 相位: 3.113167, s4 实部: 19.139966, s4 虚部: 9.966638, s4 取模: 0.002634, s4 相位: 0.480089, 相位差: 2.633079
第 63 个点: 63, s3 实部: -1339.049504, s3 虚部: 26.258720, s3 取模: 0.163490, s3 相位: 3.121985, s4 实部: 12.249599, s4 虚部: 4.362258, s4 取模: 0.001587, s4 相位: 0.342111, 相位差: 2.779874
第 64 个点: 64, s3 实部: -1339.248677, s3 虚部: 21.530774, s3 取模: 0.163504, s3 相位: 3.125517, s4 实部: 9.078237, s4 虚部: 1.527567, s4 取模: 0.001124, s4 相位: 0.166705, 相位差: 2.958812
第 65 个点: 65, s3 实部: -1339.448077, s3 虚部: 19.284278, s3 取模: 0.163524, s3 相位: 3.127196, s4 实部: 7.082003, s4 虚部: -0.625635, s4 取模: 0.000868, s4 相位: -0.088113, 相位差: 3.215309
第 66 个点: 66, s3 实部: -1339.692012, s3 虚部: 18.339944, s3 取模: 0.163552, s3 相位: 3.127904, s4 实部: 5.507196, s4 虚部: -2.834877, s4 取模: 0.000756, s4 相位: -0.475385, 相位差: 3.603289
第 67 个点: 67, s3 实部: -1340.037228, s3 虚部: 18.401809, s3 取模: 0.163594, s3 相位: 3.127861, s4 实部: 3.947274, s4 虚部: -5.725956, s4 取模: 0.000849, s4 相位: -0.967244, 相位差: 4.095105
第 68 个点: 68, s3 实部: -1340.610454, s3 虚部: 19.734621, s3 取模: 0.163666, s3 相位: 3.126873, s4 实部: 1.916218, s4 虚部: -10.465785, s4 取模: 0.001299, s4 相位: -1.389708, 相位差: 4.516582
